Index,Song Name,Streams,Artist,Genre,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Valence,Release Year,Duration (minutes),artist,song,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,liveness,valence,tempo,genre
547,RONCA FREESTYLE,5784075.0,Bad Bunny,Reggae,64.0,85.0,66.0,70.0,13.0,17.0,9.0,90.041,59.0,2020.0,2.5,,,,,,,,,,,,,,,,
548,Zoo York (feat. Fivio Foreign & Pop Smoke),5368705.0,Lil Tjay,Hip Hop,70.0,50.0,56.0,72.0,41.0,4.0,9.0,92.466,29.0,2020.0,3.58,,,,,,,,,,,,,,,,
549,EN CASITA,5364262.0,"Bad Bunny, Gabriela",Reggae,62.0,76.0,78.0,64.0,8.0,22.0,8.0,158.093,68.0,2020.0,2.94,,,,,,,,,,,,,,,,
550,Qué Maldición,4971559.0,"Banda MS de Sergio Lizárraga, Snoop Dogg",Folk,69.0,73.0,52.0,64.0,20.0,21.0,12.0,177.951,69.0,2020.0,3.39,,,,,,,,,,,,,,,,
551,Nicht verdient,4912914.0,"Capital Bra, Loredana",Rock,58.0,69.0,65.0,67.0,24.0,38.0,16.0,77.981,48.0,2020.0,2.95,,,,,,,,,,,,,,,,
552,A Tu Merced,4909499.0,Bad Bunny,Reggae,82.0,86.0,80.0,76.0,4.0,17.0,9.0,92.023,90.0,2020.0,2.93,,,,,,,,,,,,,,,,
553,Demons (feat. Fivio Foreign & Sosa Geek),4766829.0,Drake,Rock,63.0,47.0,78.0,82.0,37.0,43.0,14.0,106.869,74.0,2020.0,3.41,,,,,,,,,,,,,,,,
554,In Too Deep,4824037.0,Eminem,Rock,62.0,69.0,78.0,72.0,22.0,4.0,19.0,88.966,59.0,2020.0,3.25,,,,,,,,,,,,,,,,
555,Can I,4603243.0,Kehlani,Pop,68.0,51.0,80.0,80.0,10.0,42.0,8.0,119.537,61.0,2020.0,2.8,,,,,,,,,,,,,,,,
556,Suicidal,4320116.0,YNW Melly,Hip Hop,76.0,61.0,42.0,75.0,5.0,48.0,8.0,139.957,25.0,2020.0,3.76,,,,,,,,,,,,,,,,
557,No Time To Die,4293009.0,Billie Eilish,"Electronic, Pop",75.0,28.0,18.0,45.0,1.0,93.0,7.0,73.537,2.0,2020.0,4.04,,,,,,,,,,,,,,,,
558,D4L,10537097.0,"Future, Drake, Young Thug",Rock,63.0,68.0,71.0,73.0,4.0,1.0,35.0,170.004,83.0,2020.0,3.15,,,,,,,,,,,,,,,,
559,Time Flies,9904749.0,Drake,Rock,71.0,86.0,46.0,73.0,23.0,20.0,17.0,86.46,49.0,2020.0,3.22,,,,,,,,,,,,,,,,
560,Sigues Con El - Remix,4440738.0,"Arcangel, Sech, Romeo Santos",Rock,69.0,72.0,70.0,83.0,32.0,10.0,7.0,175.994,74.0,2020.0,3.16,,,,,,,,,,,,,,,,
561,After Hours,4559855.0,The Weeknd,Pop,75.0,62.0,57.0,71.0,1.0,8.0,11.0,108.959,12.0,2020.0,6.02,,,,,,,,,,,,,,,,
562,Hand Me Downs,9521654.0,Mac Miller,Rock,64.0,63.0,30.0,52.0,15.0,48.0,5.0,68.985,32.0,2020.0,4.97,,,,,,,,,,,,,,,,
563,You should be sad,4761908.0,Halsey,Electronic,76.0,53.0,58.0,71.0,1.0,14.0,9.0,110.94,31.0,2020.0,3.42,,,,,,,,,,,,,,,,
564,Plastic Doll,7451452.0,Lady Gaga,Pop,58.0,71.0,87.0,76.0,2.0,0.0,7.0,121.028,41.0,2020.0,3.69,,,,,,,,,,,,,,,,
565,Chromatica II,7136521.0,Lady Gaga,Pop,58.0,4.0,27.0,40.0,1.0,48.0,54.0,75.824,9.0,2020.0,0.7,,,,,,,,,,,,,,,,
566,Babylon,6996402.0,Lady Gaga,Pop,61.0,66.0,81.0,78.0,1.0,1.0,21.0,115.957,34.0,2020.0,2.7,,,,,,,,,,,,,,,,
567,Chromatica I,6630385.0,Lady Gaga,Pop,58.0,4.0,27.0,40.0,1.0,48.0,54.0,75.824,9.0,2020.0,0.7,,,,,,,,,,,,,,,,
568,1000 Doves,6069544.0,Lady Gaga,Pop,58.0,62.0,84.0,78.0,2.0,2.0,48.0,122.973,38.0,2020.0,3.59,,,,,,,,,,,,,,,,
569,Broken Glass,5867930.0,"Kygo, Kim Petras",Electronic,66.0,45.0,63.0,68.0,13.0,38.0,12.0,171.044,25.0,2020.0,3.4,,,,,,,,,,,,,,,,
570,FLY,4681054.0,"KC Rebell, Summer Cem",Rock,59.0,83.0,59.0,69.0,32.0,14.0,15.0,100.706,91.0,2020.0,2.91,,,,,,,,,,,,,,,,
571,SKRR,4629320.0,"KALIM, Ufo361",Rock,60.0,79.0,65.0,70.0,13.0,16.0,14.0,125.038,58.0,2020.0,1.98,,,,,,,,,,,,,,,,
572,Marsh,9260007.0,Eminem,Rock,62.0,87.0,48.0,71.0,21.0,1.0,39.0,144.989,2.0,2020.0,3.34,,,,,,,,,,,,,,,,
573,Lock It Up (feat. Anderson .Paak),9328951.0,Eminem,Rock,64.0,84.0,75.0,83.0,23.0,10.0,6.0,137.024,51.0,2020.0,2.84,,,,,,,,,,,,,,,,
574,"T.D (Lil Yachty & Tierra Whack feat. A$AP Rocky & Tyler, The Creator)",4601709.0,Lil Yachty,Rock,66.0,76.0,63.0,72.0,38.0,16.0,62.0,124.603,75.0,2020.0,3.88,,,,,,,,,,,,,,,,
575,Complicated,9443725.0,Mac Miller,Rock,62.0,82.0,33.0,64.0,3.0,14.0,5.0,75.014,60.0,2020.0,3.87,,,,,,,,,,,,,,,,
576,Oprah's Bank Account (Lil Yachty & DaBaby feat. Drake),4598294.0,Lil Yachty,Rock,69.0,83.0,61.0,78.0,4.0,17.0,32.0,138.066,88.0,2020.0,3.45,,,,,,,,,,,,,,,,
577,Desires (with Future),9628215.0,Drake,Rock,64.0,80.0,49.0,65.0,11.0,28.0,32.0,145.074,55.0,2020.0,3.97,,,,,,,,,,,,,,,,
578,Roadrunner,4596162.0,Bonez MC,Rock,64.0,79.0,60.0,60.0,25.0,14.0,10.0,99.024,23.0,2020.0,2.48,,,,,,,,,,,,,,,,
579,Fame,4556947.0,Apache 207,Rock,62.0,80.0,65.0,64.0,9.0,19.0,9.0,129.967,47.0,2020.0,2.9,,,,,,,,,,,,,,,,
580,Daechwita,8908179.0,Agust D,Hip Hop,77.0,60.0,84.0,79.0,4.0,2.0,11.0,144.995,20.0,2020.0,3.76,,,,,,,,,,,,,,,,
581,COOLER THAN A BITCH (feat. Roddy Ricch),6642144.0,Gunna,Rock,67.0,83.0,58.0,62.0,7.0,28.0,12.0,117.066,62.0,2020.0,3.28,,,,,,,,,,,,,,,,
582,In Your Eyes (with Doja Cat) - Remix,6511008.0,The Weeknd,Pop,67.0,64.0,74.0,74.0,1.0,1.0,4.0,99.984,73.0,2020.0,3.97,,,,,,,,,,,,,,,,
583,WUNNA,6384306.0,Gunna,Rock,60.0,89.0,44.0,61.0,27.0,2.0,10.0,148.009,30.0,2020.0,2.64,,,,,,,,,,,,,,,,
584,Komm Komm,5552890.0,Capital Bra,Rock,53.0,40.0,81.0,80.0,47.0,25.0,13.0,87.629,36.0,2020.0,2.68,,,,,,,,,,,,,,,,
585,TOP FLOOR (feat. Travis Scott),5193309.0,Gunna,Rock,63.0,81.0,49.0,62.0,16.0,21.0,42.0,112.985,47.0,2020.0,2.83,,,,,,,,,,,,,,,,
586,No Regrets (feat. Don Toliver),9493884.0,Eminem,Rock,63.0,73.0,76.0,74.0,3.0,0.0,60.0,134.935,4.0,2020.0,3.35,,,,,,,,,,,,,,,,
587,CANCIÓN CON YANDEL,5132247.0,"Yandel, Bad Bunny",Reggae,76.0,72.0,75.0,78.0,44.0,45.0,11.0,79.968,49.0,2020.0,3.49,,,,,,,,,,,,,,,,
588,X (with KAROL G),5018592.0,Jonas Brothers,Rock,70.0,68.0,84.0,75.0,4.0,5.0,32.0,117.977,76.0,2020.0,3.09,,,,,,,,,,,,,,,,
589,MÁS DE UNA CITA,4987116.0,"Bad Bunny, Zion & Lennox",Reggae,67.0,86.0,49.0,54.0,7.0,1.0,8.0,92.976,30.0,2020.0,3.06,,,,,,,,,,,,,,,,
590,Together,4861870.0,Sia,Pop,71.0,45.0,90.0,74.0,5.0,1.0,8.0,180.007,18.0,2020.0,3.42,,,,,,,,,,,,,,,,
591,eight(Prod.&Feat. SUGA of BTS),4764954.0,IU,Pop,75.0,63.0,89.0,88.0,2.0,12.0,12.0,120.029,59.0,2020.0,2.79,,,,,,,,,,,,,,,,
592,Lost In Yesterday,5096624.0,Tame Impala,"Pop, Rock",69.0,50.0,86.0,79.0,11.0,3.0,8.0,183.059,76.0,2020.0,4.16,,,,,,,,,,,,,,,,
593,Not You Too (feat. Chris Brown),9284383.0,Drake,Rock,64.0,37.0,43.0,59.0,3.0,35.0,5.0,86.318,30.0,2020.0,4.49,,,,,,,,,,,,,,,,
594,Landed,8355036.0,Drake,Rock,60.0,88.0,64.0,77.0,31.0,1.0,10.0,163.949,72.0,2020.0,2.54,,,,,,,,,,,,,,,,
595,When To Say When,8304928.0,Drake,Rock,60.0,31.0,84.0,69.0,59.0,25.0,55.0,170.718,52.0,2020.0,3.72,,,,,,,,,,,,,,,,
596,Stupid Again,5938996.0,Tory Lanez,Rock,66.0,75.0,84.0,76.0,5.0,9.0,31.0,120.059,65.0,2020.0,2.91,,,,,,,,,,,,,,,,
597,Shotz Fired,5291167.0,Bonez MC,Rock,59.0,83.0,59.0,60.0,13.0,25.0,15.0,76.007,58.0,2020.0,3.0,,,,,,,,,,,,,,,,
598,BaeBae,5290730.0,Samra,Rock,57.0,58.0,72.0,76.0,15.0,28.0,14.0,86.627,44.0,2020.0,2.8,,,,,,,,,,,,,,,,
599,To Die For,4527835.0,Sam Smith,Pop,70.0,40.0,34.0,65.0,6.0,84.0,8.0,171.649,29.0,2020.0,3.23,,,,,,,,,,,,,,,,
600,WANNABE,4383521.0,ITZY,Pop,75.0,79.0,94.0,78.0,4.0,1.0,17.0,122.035,64.0,2020.0,3.19,,,,,,,,,,,,,,,,
601,Blue World,7060589.0,Mac Miller,Rock,75.0,71.0,54.0,61.0,46.0,39.0,5.0,84.931,50.0,2020.0,3.49,,,,,,,,,,,,,,,,
602,"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)",7157402.0,Eminem,Rock,66.0,64.0,84.0,79.0,15.0,6.0,61.0,140.033,22.0,2020.0,3.91,,,,,,,,,,,,,,,,
603,La Cama - Remix,4261965.0,"Lunay, Myke Towers, Ozuna, Chencho Corleone, Rauw Alejandro",Reggae,69.0,71.0,85.0,85.0,7.0,12.0,25.0,173.986,88.0,2020.0,5.5,,,,,,,,,,,,,,,,
604,Go Stupid (feat. NLE Choppa & Mike WiLL Made-It),4244510.0,"Polo G, Stunna 4 Vegas",Hip Hop,41.0,93.0,83.0,82.0,26.0,2.0,4.0,141.087,73.0,2020.0,2.76,,,,,,,,,,,,,,,,
605,Darkness,7618955.0,Eminem,Rock,65.0,63.0,62.0,67.0,33.0,1.0,66.0,75.055,17.0,2020.0,5.62,,,,,,,,,,,,,,,,
606,Forever (feat. Post Malone & Clever),6517807.0,Justin Bieber,Pop,68.0,81.0,47.0,73.0,7.0,54.0,20.0,139.98,91.0,2020.0,3.67,,,,,,,,,,,,,,,,
607,I Love Me,5449099.0,Demi Lovato,Pop,67.0,62.0,55.0,68.0,3.0,0.0,6.0,150.093,72.0,2020.0,3.39,,,,,,,,,,,,,,,,
608,Old Me,4724056.0,5 Seconds of Summer,Rock,67.0,69.0,62.0,81.0,3.0,32.0,26.0,127.978,47.0,2020.0,3.11,,,,,,,,,,,,,,,,
609,Follow,4593449.0,"KAROL G, Anuel AA",Reggae,63.0,70.0,80.0,78.0,16.0,67.0,6.0,168.997,45.0,2020.0,3.38,,,,,,,,,,,,,,,,
610,Pero Ya No,4666658.0,Bad Bunny,Reggae,72.0,88.0,61.0,71.0,11.0,5.0,17.0,147.982,75.0,2020.0,2.68,,,,,,,,,,,,,,,,
611,Pretty Please,4305034.0,Dua Lipa,Pop,67.0,91.0,46.0,71.0,20.0,3.0,28.0,106.976,66.0,2020.0,3.24,,,,,,,,,,,,,,,,
612,Scared To Live,6566099.0,The Weeknd,Pop,66.0,43.0,48.0,63.0,3.0,13.0,8.0,87.221,17.0,2020.0,3.19,,,,,,,,,,,,,,,,
613,Alone Again,6055294.0,The Weeknd,Pop,66.0,8.0,65.0,65.0,5.0,3.0,16.0,65.375,3.0,2020.0,4.17,,,,,,,,,,,,,,,,
614,Auto Blu,5995116.0,"Shiva, Eiffel 65",Rock,56.0,81.0,80.0,71.0,5.0,2.0,8.0,130.015,66.0,2020.0,2.77,,,,,,,,,,,,,,,,
615,Du bist mein,5878493.0,"Zuna, Loredana, SRNO",Rock,54.0,74.0,55.0,68.0,40.0,14.0,8.0,187.81,52.0,2020.0,2.67,,,,,,,,,,,,,,,,
616,Too Late,5867746.0,The Weeknd,Pop,67.0,59.0,88.0,75.0,13.0,5.0,71.0,120.077,20.0,2020.0,4.0,,,,,,,,,,,,,,,,
617,Wildflower,5791343.0,5 Seconds of Summer,Rock,65.0,60.0,78.0,78.0,3.0,18.0,48.0,108.992,60.0,2020.0,3.68,,,,,,,,,,,,,,,,
618,Faith,5730081.0,The Weeknd,Pop,67.0,27.0,60.0,67.0,6.0,62.0,14.0,175.946,10.0,2020.0,4.72,,,,,,,,,,,,,,,,
619,Snowchild,5423997.0,The Weeknd,Pop,66.0,48.0,61.0,66.0,13.0,16.0,11.0,148.062,22.0,2020.0,4.12,,,,,,,,,,,,,,,,
620,Escape From LA,5307288.0,The Weeknd,Pop,67.0,31.0,51.0,61.0,4.0,5.0,19.0,145.74,14.0,2020.0,5.93,,,,,,,,,,,,,,,,
621,Allein sein,5119993.0,Ufo361,Rock,54.0,75.0,58.0,62.0,23.0,4.0,25.0,75.978,38.0,2020.0,2.46,,,,,,,,,,,,,,,,
622,Bichiyal,4946613.0,"Bad Bunny, Yaviah",Reggae,75.0,71.0,78.0,78.0,3.0,31.0,10.0,93.956,67.0,2020.0,3.28,,,,,,,,,,,,,,,,
623,Medusa,4901559.0,"Jhay Cortez, Anuel AA, J Balvin",Reggae,70.0,89.0,60.0,67.0,21.0,20.0,9.0,98.023,37.0,2020.0,5.09,,,,,,,,,,,,,,,,
624,Hardest To Love,4553544.0,The Weeknd,Pop,67.0,38.0,60.0,65.0,6.0,9.0,11.0,80.957,8.0,2020.0,3.52,,,,,,,,,,,,,,,,
625,Enigma,7695566.0,Lady Gaga,Pop,59.0,63.0,82.0,79.0,1.0,3.0,72.0,116.001,16.0,2020.0,3.0,,,,,,,,,,,,,,,,
626,BLAME IT ON BABY,4616034.0,DaBaby,Rock,57.0,87.0,69.0,73.0,42.0,24.0,13.0,109.791,88.0,2020.0,2.1,,,,,,,,,,,,,,,,
627,I'll Wait,4674532.0,"Kygo, Sasha Alex Sloan",Electronic,70.0,56.0,65.0,68.0,4.0,15.0,9.0,122.983,34.0,2020.0,3.59,,,,,,,,,,,,,,,,
628,Deep Pockets,8285754.0,Drake,Rock,58.0,39.0,84.0,81.0,16.0,49.0,62.0,77.888,36.0,2020.0,3.72,,,,,,,,,,,,,,,,
629,War,7821869.0,Drake,Rock,64.0,72.0,81.0,79.0,7.0,29.0,9.0,144.064,22.0,2020.0,3.0,,,,,,,,,,,,,,,,
630,From Florida With Love,7216610.0,Drake,Rock,64.0,77.0,46.0,65.0,20.0,77.0,9.0,80.506,47.0,2020.0,3.91,,,,,,,,,,,,,,,,
631,Losses,6894756.0,Drake,Rock,57.0,48.0,56.0,67.0,38.0,28.0,43.0,85.687,50.0,2020.0,4.52,,,,,,,,,,,,,,,,
632,Turks (feat. Travis Scott),5594561.0,"NAV, Gunna",Rock,70.0,90.0,62.0,78.0,10.0,8.0,55.0,119.099,38.0,2020.0,2.69,,,,,,,,,,,,,,,,
633,Boyfriend,5236730.0,Selena Gomez,Pop,62.0,80.0,50.0,70.0,17.0,22.0,6.0,92.046,33.0,2020.0,2.69,,,,,,,,,,,,,,,,
634,Emotions,4901960.0,Ufo361,Rock,65.0,77.0,48.0,57.0,10.0,39.0,9.0,98.543,25.0,2020.0,2.43,,,,,,,,,,,,,,,,
635,Bi Sonraki Hayatımda Gel,5037967.0,"Murda, Ezhel",Hip Hop,57.0,94.0,43.0,78.0,13.0,3.0,9.0,103.981,74.0,2020.0,2.79,,,,,,,,,,,,,,,,
636,Keii,4687605.0,Anuel AA,Reggae,67.0,67.0,81.0,83.0,2.0,40.0,8.0,88.015,50.0,2020.0,3.5,,,,,,,,,,,,,,,,
637,Por Primera Vez,4478685.0,"Camilo, Evaluna Montaner",Reggae,70.0,68.0,58.0,80.0,11.0,15.0,7.0,165.896,71.0,2020.0,3.06,,,,,,,,,,,,,,,,
638,Broke In A Minute,4402281.0,Tory Lanez,Rock,75.0,94.0,71.0,73.0,8.0,15.0,35.0,120.009,81.0,2020.0,2.2,,,,,,,,,,,,,,,,
639,Fantasias - Remix,4401019.0,"Rauw Alejandro, Anuel AA, Natti Natasha, Farruko, Lunay",Pop,70.0,80.0,73.0,78.0,5.0,21.0,27.0,94.004,79.0,2020.0,4.45,,,,,,,,,,,,,,,,
640,B.I.T.C.H.,5215211.0,Megan Thee Stallion,Pop,59.0,71.0,74.0,78.0,33.0,9.0,12.0,174.019,54.0,2020.0,3.05,,,,,,,,,,,,,,,,
641,Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),4618744.0,Lil Yachty,Rock,69.0,83.0,61.0,78.0,4.0,17.0,32.0,138.066,88.0,2020.0,3.45,,,,,,,,,,,,,,,,
642,90-60-111,5750861.0,Shirin David,Rock,64.0,78.0,63.0,70.0,30.0,10.0,39.0,143.979,75.0,2020.0,2.36,,,,,,,,,,,,,,,,
643,Sasuke,4701551.0,Lil Uzi Vert,Hip Hop,56.0,85.0,46.0,71.0,47.0,0.0,7.0,145.979,13.0,2020.0,4.19,,,,,,,,,,,,,,,,
644,Me Gusta,4440661.0,"Shakira, Anuel AA",Pop,72.0,75.0,70.0,75.0,5.0,6.0,15.0,92.007,78.0,2020.0,3.18,,,,,,,,,,,,,,,,
645,If You’re Too Shy (Let Me Know) - Edit,4429092.0,The 1975,Rock,59.0,60.0,82.0,76.0,1.0,0.0,8.0,125.641,37.0,2020.0,4.0,,,,,,,,,,,,,,,,
646,Zu Ende,5297101.0,"Samra, ELIF",Rock,57.0,67.0,76.0,75.0,30.0,31.0,17.0,80.025,48.0,2020.0,3.3,,,,,,,,,,,,,,,,
647,Leaving Heaven (feat. Skylar Grey),5466161.0,Eminem,Rock,64.0,62.0,76.0,76.0,21.0,18.0,25.0,171.983,50.0,2020.0,4.43,,,,,,,,,,,,,,,,
648,Still Be Friends (feat. Tory Lanez & Tyga),4299422.0,G-Eazy,Rock,76.0,79.0,77.0,77.0,3.0,1.0,8.0,104.0,27.0,2020.0,3.56,,,,,,,,,,,,,,,,
649,Donuts,6113037.0,Gzuz,Rock,62.0,76.0,71.0,66.0,25.0,10.0,6.0,141.035,55.0,2020.0,2.72,,,,,,,,,,,,,,,,
650,PICK UP (feat. Quavo),7065060.0,DaBaby,Rock,65.0,92.0,61.0,77.0,45.0,10.0,10.0,129.93,77.0,2020.0,1.98,,,,,,,,,,,,,,,,
651,JUMP (feat. YoungBoy Never Broke Again),6033348.0,DaBaby,Rock,62.0,90.0,73.0,71.0,39.0,17.0,25.0,140.1,99.0,2020.0,3.53,,,,,,,,,,,,,,,,
652,LIGHTSKIN SH*T (feat. Future & jetsonmade),4861875.0,DaBaby,Rock,56.0,94.0,57.0,78.0,40.0,12.0,10.0,129.991,62.0,2020.0,1.85,,,,,,,,,,,,,,,,
653,That Way - Bonus Track,4825741.0,Lil Uzi Vert,Hip Hop,67.0,68.0,59.0,74.0,2.0,6.0,14.0,130.007,50.0,2020.0,3.54,,,,,,,,,,,,,,,,
654,Unaccommodating (feat. Young M.A),6374807.0,Eminem,Rock,65.0,85.0,76.0,73.0,4.0,2.0,40.0,89.95,38.0,2020.0,3.61,,,,,,,,,,,,,,,,
655,No Me Ame,4822090.0,"Rvssian, Anuel AA, Juice WRLD",Rock,64.0,64.0,78.0,76.0,8.0,4.0,10.0,160.095,26.0,2020.0,3.0,,,,,,,,,,,,,,,,
656,Houdini (feat. Swarmz & Tion Wayne),4914429.0,KSI,Rock,58.0,51.0,51.0,64.0,26.0,0.0,12.0,100.453,71.0,2020.0,2.82,,,,,,,,,,,,,,,,
657,FIND MY WAY,4753495.0,DaBaby,Rock,66.0,83.0,62.0,69.0,19.0,19.0,13.0,103.0,71.0,2020.0,2.33,,,,,,,,,,,,,,,,
658,Outta Time (feat. Drake),7762934.0,Bryson Tiller,Rock,68.0,68.0,58.0,67.0,7.0,1.0,6.0,92.819,32.0,2020.0,3.31,,,,,,,,,,,,,,,,
659,MODUS,6013371.0,Joji,Rock,66.0,71.0,52.0,66.0,3.0,18.0,10.0,132.008,24.0,2020.0,3.45,,,,,,,,,,,,,,,,
660,Tattoo - Remix with Camilo,5120753.0,Rauw Alejandro,Pop,78.0,84.0,64.0,75.0,15.0,4.0,3.0,96.988,70.0,2020.0,3.71,,,,,,,,,,,,,,,,
661,Toosie Slide,4966878.0,Drake,Rock,78.0,82.0,44.0,58.0,21.0,32.0,10.0,81.618,85.0,2020.0,4.12,,,,,,,,,,,,,,,,
662,Midnight Sky,5208100.0,Miley Cyrus,Pop,76.0,67.0,83.0,74.0,1.0,0.0,19.0,110.0,24.0,2020.0,3.72,,,,,,,,,,,,,,,,
663,Blinding Lights,15011809.0,The Weeknd,Pop,92.0,44.0,74.0,72.0,4.0,0.0,7.0,171.005,32.0,2020.0,3.33,,,,,,,,,,,,,,,,
664,Heat Waves,15089184.0,Glass Animals,Electronic,85.0,74.0,51.0,68.0,8.0,44.0,8.0,80.87,53.0,2020.0,3.98,,,,,,,,,,,,,,,,
665,Mds,5046418.0,"Kawe, Mc Lele JP",Rock,72.0,89.0,55.0,74.0,26.0,26.0,11.0,140.02,65.0,2020.0,2.09,,,,,,,,,,,,,,,,
666,Hawái - Remix,5163323.0,"Maluma, The Weeknd",Reggae,77.0,74.0,80.0,83.0,34.0,11.0,13.0,179.984,61.0,2020.0,3.34,,,,,,,,,,,,,,,,
667,Heartless,4995578.0,The Weeknd,Pop,77.0,47.0,76.0,74.0,15.0,2.0,14.0,170.062,23.0,2020.0,3.3,,,,,,,,,,,,,,,,
668,Cry Baby (feat. DaBaby),4884711.0,Megan Thee Stallion,Pop,76.0,97.0,42.0,65.0,39.0,0.0,21.0,130.058,62.0,2020.0,2.3,,,,,,,,,,,,,,,,
669,Mi Cuarto,4873380.0,Jerry Di,Reggae,76.0,85.0,51.0,78.0,22.0,83.0,13.0,97.054,63.0,2020.0,3.29,,,,,,,,,,,,,,,,
670,Daisy,5030670.0,Ashnikko,Electronic,76.0,82.0,66.0,71.0,13.0,24.0,37.0,121.876,78.0,2020.0,2.44,,,,,,,,,,,,,,,,
671,La Jeepeta - Remix,4942545.0,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",Reggae,75.0,80.0,72.0,77.0,21.0,30.0,8.0,176.007,80.0,2020.0,5.75,,,,,,,,,,,,,,,,
672,Si Me Tomo Una Cerveza,5427534.0,"Migrantes, Alico",Pop,74.0,69.0,61.0,68.0,4.0,19.0,14.0,84.974,87.0,2020.0,3.04,,,,,,,,,,,,,,,,
673,Somebody’s Problem,5332437.0,Morgan Wallen,Folk,70.0,61.0,53.0,66.0,1.0,67.0,11.0,136.97,63.0,2020.0,2.7,,,,,,,,,,,,,,,,
674,pov,4906738.0,Ariana Grande,Pop,79.0,41.0,52.0,73.0,4.0,36.0,9.0,131.798,15.0,2020.0,3.36,,,,,,,,,,,,,,,,
675,Way Out (feat. Big Sean),4962949.0,Jack Harlow,Rock,72.0,96.0,58.0,63.0,6.0,12.0,9.0,108.025,92.0,2020.0,2.82,,,,,,,,,,,,,,,,
676,"Nathy Peluso: Bzrp Music Sessions, Vol. 36",5232509.0,"Bizarrap, Nathy Peluso",Rock,77.0,60.0,66.0,80.0,44.0,25.0,5.0,94.059,74.0,2020.0,2.85,,,,,,,,,,,,,,,,
677,Despeinada,5004462.0,"Ozuna, Camilo",Reggae,75.0,70.0,79.0,80.0,4.0,19.0,11.0,166.039,73.0,2020.0,3.74,,,,,,,,,,,,,,,,
678,Mood Swings (feat. Lil Tjay),5068349.0,Pop Smoke,Hip Hop,82.0,40.0,60.0,71.0,40.0,49.0,7.0,179.798,25.0,2020.0,3.56,,,,,,,,,,,,,,,,
679,How You Like That,5023592.0,BLACKPINK,Pop,79.0,80.0,77.0,75.0,7.0,5.0,4.0,130.032,33.0,2020.0,3.05,,,,,,,,,,,,,,,,
680,Dynamite,11196819.0,BTS,Pop,89.0,72.0,78.0,78.0,9.0,1.0,8.0,114.044,74.0,2020.0,3.32,,,,,,,,,,,,,,,,
681,DÁKITI,11524288.0,"Bad Bunny, Jhay Cortez",Reggae,86.0,70.0,57.0,57.0,4.0,40.0,10.0,109.928,12.0,2020.0,3.42,,,,,,,,,,,,,,,,
682,Se Te Nota (with Guaynaa),5168240.0,Lele Pons,Pop,77.0,91.0,69.0,83.0,5.0,9.0,26.0,103.013,98.0,2020.0,2.6,,,,,,,,,,,,,,,,
683,Head Shoulders Knees & Toes (feat. Norma Jean Martine),5093408.0,"Ofenbach, Quarterhead",Electronic,79.0,78.0,84.0,74.0,20.0,2.0,11.0,124.962,60.0,2020.0,2.62,,,,,,,,,,,,,,,,
684,Reloj,4980155.0,"Rauw Alejandro, Anuel AA",Pop,79.0,81.0,53.0,84.0,22.0,18.0,11.0,175.946,62.0,2020.0,3.86,,,,,,,,,,,,,,,,
685,Maniac,5044929.0,Conan Gray,Electronic,82.0,58.0,64.0,74.0,2.0,0.0,35.0,108.045,49.0,2020.0,3.1,,,,,,,,,,,,,,,,
686,Jeans,5145966.0,Justin Quiles,Reggae,75.0,79.0,66.0,78.0,10.0,2.0,5.0,83.943,91.0,2020.0,3.1,,,,,,,,,,,,,,,,
687,BOOKER T,4995965.0,Bad Bunny,Reggae,77.0,88.0,60.0,67.0,40.0,12.0,8.0,113.903,70.0,2020.0,2.61,,,,,,,,,,,,,,,,
688,Intentions (feat. Quavo),4994138.0,Justin Bieber,Pop,77.0,79.0,54.0,69.0,4.0,30.0,9.0,147.986,89.0,2020.0,3.55,,,,,,,,,,,,,,,,
689,Tyler Herro,5168107.0,Jack Harlow,Rock,76.0,78.0,77.0,68.0,13.0,11.0,24.0,123.066,78.0,2020.0,2.61,,,,,,,,,,,,,,,,
690,Remember That Night?,5116325.0,Sara Kays,Pop,78.0,64.0,61.0,53.0,1.0,59.0,14.0,123.978,55.0,2020.0,3.79,,,,,,,,,,,,,,,,
691,Fly Away,5053713.0,Tones And I,Pop,79.0,79.0,50.0,71.0,5.0,22.0,21.0,124.988,50.0,2020.0,2.97,,,,,,,,,,,,,,,,
692,SO DONE,5440707.0,The Kid LAROI,Rock,74.0,69.0,59.0,71.0,6.0,23.0,10.0,142.592,29.0,2020.0,2.11,,,,,,,,,,,,,,,,
693,Diamonds,4931163.0,Sam Smith,Pop,77.0,61.0,67.0,69.0,2.0,16.0,9.0,104.181,55.0,2020.0,3.56,,,,,,,,,,,,,,,,
694,Dancing in My Room,4914093.0,347aidan,Hip Hop,79.0,100.0,39.0,53.0,9.0,68.0,16.0,119.993,77.0,2020.0,3.0,,,,,,,,,,,,,,,,
695,De Cora <3,4864544.0,"Rauw Alejandro, J Balvin",Pop,73.0,80.0,69.0,87.0,25.0,46.0,11.0,176.037,57.0,2020.0,3.17,,,,,,,,,,,,,,,,
